Godina;Razdjel;Naziv razdjela;Glava;Naziv glave;Glavni program;Naziv glavnog programa;Program;Naziv programa;Potprogram;Naziv potprograma;Funkcijsko podruèje;Naziv funkcijskog podruèja;Izvor financiranja;Naziv izvora financiranja;Razred stavke;Naziv razreda stavke;Skupina stavke;Naziv skupine stavke;Podskupina stavke;Naziv podskupine stavke;Izvorni plan;Tekuæi plan;Izvršeno
2019;011;POVJERENSTVO ZA FISKALNU POLITIKU;01105;Povjerenstvo za fiskalnu politiku;22;FINANCIJSKI I FISKALNI SUSTAV;2211;NEOVISNO PRAÆENJE PROVEDBE FISKALNE POLITIKE;A926001;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;323;Rashodi za usluge;145.000,00;;
2019;011;POVJERENSTVO ZA FISKALNU POLITIKU;01105;Povjerenstvo za fiskalnu politiku;22;FINANCIJSKI I FISKALNI SUSTAV;2211;NEOVISNO PRAÆENJE PROVEDBE FISKALNE POLITIKE;A926001;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;324;Naknade troškova osobama izvan radnog odnosa;15.000,00;;
2019;011;POVJERENSTVO ZA FISKALNU POLITIKU;01105;Povjerenstvo za fiskalnu politiku;22;FINANCIJSKI I FISKALNI SUSTAV;2211;NEOVISNO PRAÆENJE PROVEDBE FISKALNE POLITIKE;A926001;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;329;Ostali nespomenuti rashodi poslovanja;149.500,00;;
2019;011;POVJERENSTVO ZA FISKALNU POLITIKU;01105;Povjerenstvo za fiskalnu politiku;22;FINANCIJSKI I FISKALNI SUSTAV;2211;NEOVISNO PRAÆENJE PROVEDBE FISKALNE POLITIKE;A926001;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;34;Financijski rashodi;343;Ostali financijski rashodi;1.100,00;;
2019;011;POVJERENSTVO ZA FISKALNU POLITIKU;01105;Povjerenstvo za fiskalnu politiku;22;FINANCIJSKI I FISKALNI SUSTAV;2211;NEOVISNO PRAÆENJE PROVEDBE FISKALNE POLITIKE;A926001;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;4;Rashodi za nabavu nefinancijske imovine;42;Rashodi za nabavu proizvedene dugotrajne imovine;422;Postrojenja i oprema;34.000,00;;
2019;011;POVJERENSTVO ZA FISKALNU POLITIKU;01105;Povjerenstvo za fiskalnu politiku;22;FINANCIJSKI I FISKALNI SUSTAV;2211;NEOVISNO PRAÆENJE PROVEDBE FISKALNE POLITIKE;K926002;INFORMATIZACIJA;01;Opæe javne usluge;11;Opæi prihodi i primi;4;Rashodi za nabavu nefinancijske imovine;41;Rashodi za nabavu neproizvedene dugotrajne imovine;412;Nematerijalna imovina;15.000,00;;
2019;011;POVJERENSTVO ZA FISKALNU POLITIKU;01105;Povjerenstvo za fiskalnu politiku;22;FINANCIJSKI I FISKALNI SUSTAV;2211;NEOVISNO PRAÆENJE PROVEDBE FISKALNE POLITIKE;K926002;INFORMATIZACIJA;01;Opæe javne usluge;11;Opæi prihodi i primi;4;Rashodi za nabavu nefinancijske imovine;42;Rashodi za nabavu proizvedene dugotrajne imovine;422;Postrojenja i oprema;45.000,00;;
2019;011;POVJERENSTVO ZA FISKALNU POLITIKU;01105;Povjerenstvo za fiskalnu politiku;22;FINANCIJSKI I FISKALNI SUSTAV;2211;NEOVISNO PRAÆENJE PROVEDBE FISKALNE POLITIKE;K926002;INFORMATIZACIJA;01;Opæe javne usluge;11;Opæi prihodi i primi;4;Rashodi za nabavu nefinancijske imovine;42;Rashodi za nabavu proizvedene dugotrajne imovine;426;Nematerijalna proizvedena imovina;50.000,00;;
2019;012;DRŽAVNO IZBORNO POVJERENSTVO REPUBLIKE HRVATSKE;01205;Državno izborno povjerenstvo Republike Hrvatske;21;POLITIÈKI SUSTAV;2124;PROVEDBA IZBORA I REFERENDUMA;A896001;PROVEDBA IZBORA;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;321;Naknade troškova zaposlenima;110.000,00;;
2019;012;DRŽAVNO IZBORNO POVJERENSTVO REPUBLIKE HRVATSKE;01205;Državno izborno povjerenstvo Republike Hrvatske;21;POLITIÈKI SUSTAV;2124;PROVEDBA IZBORA I REFERENDUMA;A896001;PROVEDBA IZBORA;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;322;Rashodi za materijal i energiju;135.000,00;;
2019;012;DRŽAVNO IZBORNO POVJERENSTVO REPUBLIKE HRVATSKE;01205;Državno izborno povjerenstvo Republike Hrvatske;21;POLITIÈKI SUSTAV;2124;PROVEDBA IZBORA I REFERENDUMA;A896001;PROVEDBA IZBORA;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;323;Rashodi za usluge;15.656.000,00;;
2019;012;DRŽAVNO IZBORNO POVJERENSTVO REPUBLIKE HRVATSKE;01205;Državno izborno povjerenstvo Republike Hrvatske;21;POLITIÈKI SUSTAV;2124;PROVEDBA IZBORA I REFERENDUMA;A896001;PROVEDBA IZBORA;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;324;Naknade troškova osobama izvan radnog odnosa;15.000,00;;
