value,activity_id,administrative_classification_id,date_id,economic_classification_id,fin_source_id,functional_classification_id
10000,42,9,2,8,1,8
10000,42,9,3,8,1,8
7660,43,9,1,1,2,8
0,43,9,2,1,2,8
,43,9,3,1,2,8
1340,43,9,1,3,2,8
0,43,9,2,3,2,8
,43,9,3,3,2,8
14000,43,9,1,4,2,8
0,43,9,2,4,2,8
,43,9,3,4,2,8
5250,43,9,1,6,2,8
0,43,9,2,6,2,8
,43,9,3,6,2,8
1000,43,9,1,8,2,8
0,43,9,2,8,2,8
,43,9,3,8,2,8
1005000,43,9,1,21,2,8
0,43,9,2,21,2,8
,43,9,3,21,2,8
43500,43,9,1,1,15,8
0,43,9,2,1,15,8
,43,9,3,1,15,8
7500,43,9,1,3,15,8
0,43,9,2,3,15,8
,43,9,3,3,15,8
80000,43,9,1,4,15,8
0,43,9,2,4,15,8
,43,9,3,4,15,8
29750,43,9,1,6,15,8
0,43,9,2,6,15,8
,43,9,3,6,15,8
5000,43,9,1,8,15,8
0,43,9,2,8,15,8
,43,9,3,8,15,8
5690000,43,9,1,24,15,8
0,43,9,2,24,15,8
,43,9,3,24,15,8
35000,44,9,1,6,1,8
35000,44,9,2,6,1,8
35000,44,9,3,6,1,8
5000,44,9,1,7,1,8
5000,44,9,2,7,1,8
5000,44,9,3,7,1,8
190000,44,9,1,8,1,8
190000,44,9,2,8,1,8
190000,44,9,3,8,1,8
279740,45,9,1,1,2,8
287400,45,9,2,1,2,8
287400,45,9,3,1,2,8
48093,45,9,1,3,2,8
49433,45,9,2,3,2,8
49433,45,9,3,3,2,8
90000,45,9,1,4,2,8
90000,45,9,2,4,2,8
90000,45,9,3,4,2,8
8000,45,9,1,5,2,8
8000,45,9,2,5,2,8
8000,45,9,3,5,2,8
320000,45,9,1,6,2,8
102000,45,9,2,6,2,8
102000,45,9,3,6,2,8
12000,45,9,1,7,2,8
,45,9,2,7,2,8
,45,9,3,7,2,8
18000,45,9,1,8,2,8
18000,45,9,2,8,2,8
18000,45,9,3,8,2,8
0,45,9,1,21,2,8
3500000,45,9,2,21,2,8
5000000,45,9,3,21,2,8
45000,45,9,1,30,2,8
11250,45,9,2,30,2,8
22500,45,9,3,30,2,8
1585100,45,9,1,1,15,8
1628600,45,9,2,1,15,8
1628600,45,9,3,1,15,8
272619,45,9,1,3,15,8
280119,45,9,2,3,15,8
280119,45,9,3,3,15,8
540000,45,9,1,4,15,8
540000,45,9,2,4,15,8
540000,45,9,3,4,15,8
42000,45,9,1,5,15,8
42000,45,9,2,5,15,8
42000,45,9,3,5,15,8
680000,45,9,1,6,15,8
578000,45,9,2,6,15,8
578000,45,9,3,6,15,8
68000,45,9,1,7,15,8
,45,9,2,7,15,8
,45,9,3,7,15,8
102000,45,9,1,8,15,8
102000,45,9,2,8,15,8
102000,45,9,3,8,15,8
0,45,9,1,24,15,8
76500000,45,9,2,24,15,8
85000000,45,9,3,24,15,8
255000,45,9,1,30,15,8
10000,45,9,2,30,15,8
20000,45,9,3,30,15,8
,46,9,1,4,2,8
70000,46,9,2,4,2,8
70000,46,9,3,4,2,8
,46,9,1,5,2,8
1000,46,9,2,5,2,8
1000,46,9,3,5,2,8
,46,9,1,6,2,8
130000,46,9,2,6,2,8
180000,46,9,3,6,2,8
,46,9,1,21,2,8
500000,46,9,2,21,2,8
3550000,46,9,3,21,2,8
,46,9,1,30,2,8
5000,46,9,2,30,2,8
5000,46,9,3,30,2,8
,46,9,1,4,14,8
135000,46,9,2,4,14,8
135000,46,9,3,4,14,8
,46,9,1,5,14,8
1000,46,9,2,5,14,8
1000,46,9,3,5,14,8
,46,9,1,6,14,8
325000,46,9,2,6,14,8
325000,46,9,3,6,14,8
,46,9,1,21,14,8
13000000,46,9,2,21,14,8
13000000,46,9,3,21,14,8
,46,9,1,30,14,8
3000,46,9,2,30,14,8
3000,46,9,3,30,14,8
100000,47,9,1,28,1,1
100000,47,9,2,28,1,1
100000,47,9,3,28,1,1
65020,47,9,1,30,1,1
40000,47,9,2,30,1,1
40000,47,9,3,30,1,1
1922100,99,10,1,1,1,1
2092000,99,10,2,1,1,1
2102000,99,10,3,1,1,1
37500,99,10,1,2,1,1
22000,99,10,2,2,1,1
29000,99,10,3,2,1,1
351000,99,10,1,3,1,1
361000,99,10,2,3,1,1
362000,99,10,3,3,1,1
39000,99,10,1,4,1,1
39000,99,10,2,4,1,1
39000,99,10,3,4,1,1
67100,99,10,1,5,1,1
67100,99,10,2,5,1,1
67100,99,10,3,5,1,1
159000,99,10,1,6,1,1
154000,99,10,2,6,1,1
154000,99,10,3,6,1,1
1000,99,10,1,8,1,1
600,99,10,2,8,1,1
600,99,10,3,8,1,1
250,99,10,1,11,1,1
250,99,10,2,11,1,1
250,99,10,3,11,1,1
89000,99,10,1,30,1,1
2500,99,10,2,30,1,1
2500,99,10,3,30,1,1
105000,100,10,1,4,1,1
105000,100,10,2,4,1,1
105000,100,10,3,4,1,1
585200,100,10,1,6,1,1
350200,100,10,2,6,1,1
350200,100,10,3,6,1,1
100,100,10,1,7,1,1
100,100,10,2,7,1,1
100,100,10,3,7,1,1
2100,100,10,1,8,1,1
2100,100,10,2,8,1,1
2100,100,10,3,8,1,1
2275500,100,10,1,11,1,1
4500500,100,10,2,11,1,1
4500500,100,10,3,11,1,1
23000,101,10,1,28,1,1
23000,101,10,2,28,1,1
23000,101,10,3,28,1,1
